Centre ID,Zonal IIT,Centre Name,City
6027,IIT Madras,iON Digital Zone iDZ Atchutapuram,Kakinada
6028,IIT Madras,iON Digital Zone iDZ Dupadu,Kurnool
6029,IIT Madras,iON Digital Zone iDZ Sanath Nagar,Kurnool
6030,IIT Madras,Krishna Chaitanya Institute of Technology & Sci- ences,Markapur
6031,IIT Madras,Dr.Samuel George Institute of Engineering & Technology,Markapur
6032,IIT Madras,Lakkireddy Bali Reddy College of Engineering,Mylavaram
6033,IIT Madras,AM Reddy Memorial College of Engineering and Technology,Narasaraopet
6034,IIT Madras,Narasaraopeta Institute of Technology,Narasaraopet
6035,IIT Madras,iON Digital Zone iDZ Pottepalem Village,Nellore
6036,IIT Madras,Geethanjali Institute of Science and Technology,Nellore
6037,IIT Madras,QIS College of Engineering and Technology,Ongole
6038,IIT Madras,National council for the church social action india,Ongole
6039,IIT Madras,iON Digital Zone iDZ Luthergiri,Rajahmundry
6040,IIT Madras,Aditya Engineering College,Surampalem
6041,IIT Madras,Aditya College of Engineering and Technology,Surampalem
6042,IIT Madras,Pragati Engineering College,Surampalem
6043,IIT Madras,Aditya College of Engineering,Surampalem
6044,IIT Madras,Sri Vasavi Engineering College,Tadepalligudem
6045,IIT Madras,Sasi Institute of Technology & Engineering,Tadepalligudem
6046,IIT Madras,Chadalawada Ramanamma Engineering College,Tirupathi
6047,IIT Madras,iON Digital Zone iDZ Ramireddipalle,Tirupathi
6048,IIT Madras,iON Digital Zone iDZ Zoo Park Tirupathi,Tirupathi
6049,IIT Madras,Potti Sriramulu Chalavadi Mallikarjuna Rao College of Engineering & Technology Vijayawada,Vijayawada
6050,IIT Madras,N.R.I Group of Colleges,Vijayawada
6051,IIT Madras,S.R.K Institute of Technology,Vijayawada
6052,IIT Madras,iON Digital Zone iDZ Kandrika,Vijayawada
6053,IIT Madras,iON Digital Zone iDZ Kanuru Village,Vijayawada
6054,IIT Madras,Q Technologies,Vijayawada
6055,IIT Madras,Shree Vijaya Durga I.T Info solutions,Vijayawada
6056,IIT Madras,SS FutureTech,Vijayawada
6057,IIT Madras,Svt Infotech,Vijayawada
6058,IIT Madras,CARMEL COLLEGE OF ENGINEERING&TECHNOLOGY,Alappuzha
6059,IIT Madras,iON Digital Zone iDZ Kannur,Kannur
6060,IIT Madras,Cloud9 Cyberspace,Kannur
6061,IIT Madras,LBS College Of Engineering,Kasaragod
6062,IIT Madras,College of Engineering Trikaripur,Kasaragod
6063,IIT Madras,iON Digital Zone iDZ Aluva,Kochi
6064,IIT Madras,iON Digital Zone iDZ Kollam,Kollam
6065,IIT Madras,iON Digital Zone iDZ Kottayam,Kottayam
6066,IIT Madras,St.Josephs College of Engineering and Technology,Kottayam
6067,IIT Madras,Amal Jyothi College of Engineering,Kottayam
6068,IIT Madras,iON Digital Zone iDZ Kozhikode,Kozhikode
6069,IIT Madras,Sky High Infotech,Kozhikode
6070,IIT Madras,Centos Assessment School,Kozhikode
6071,IIT Madras,RiO Tech,Kozhikode
6072,IIT Madras,St. Josephs College Devagiri,Kozhikode
6073,IIT Madras,Regional Edu City,Malappuram
6074,IIT Madras,St.Mary’s College,Malappuram
6075,IIT Madras,GLOBAL INFO,Malappuram
6076,IIT Madras,Pocker Sahib Memorial Orphanage College,Malappuram
6077,IIT Madras,Eranad Knowledge City Technical Campus,Malappuram
6078,IIT Madras,MEA Engineering College,Malappuram
6079,IIT Madras,Aryanet Institute Of Technology,Palakkad
6080,IIT Madras,Aspirant Learning Academy Private Limited,Palakkad
6081,IIT Madras,Mount Carmel Residential School,Thiruvananthapuram
6082,IIT Madras,Rajadhani Institute of Engineering And Technology Block II,Thiruvananthapuram
6083,IIT Madras,ION Digital Zone IDZ Thrissur,Thrissur
6084,IIT Madras,Sri Manakula Vinayagar Engineering College,Puducherry
6085,IIT Madras,Sri Venkateshwara College of Engineering and Technology,Puducherry
6086,IIT Madras,Manakula Vinayagar Institute of Technology,Puducherry
6087,IIT Madras,Christ College of Engineering & Technology,Puducherry
6088,IIT Madras,iON Digital Zone iDZ Kovilambakkam,Chennai
6089,IIT Madras,Chennai Institute of Technology,Chennai
6090,IIT Madras,iON Digital Zone iDZ Kundrathur,Chennai
6091,IIT Madras,iON Digital Zone iDZ Manimangalam,Chennai
6092,IIT Madras,Rajalakshmi Engineering College,Chennai
6093,IIT Madras,Sri Sai Ram Engineering College,Chennai
6094,IIT Madras,Hindustan Institute of Technology & Science,Chennai
6095,IIT Madras,PSB Polytechnic College,Chennai
6096,IIT Madras,Sri Sai Ram Institute of Technology,Chennai
6097,IIT Madras,KCG College of Technology,Chennai
6098,IIT Madras,Sri Krishna Engineering College,Chennai
6099,IIT Madras,RRASE College of Engineering,Chennai
6100,IIT Madras,Sri Jayaram Institute of Engineering & Technology,Chennai
6101,IIT Madras,iON Digital Zone iDZ Thondamuthur,Coimbatore
6102,IIT Madras,iON Digital Zone iDZ Coimbatore II,Coimbatore
6103,IIT Madras,iON Digital Zone iDZ Austinpatti,Madurai
6104,IIT Madras,iON Digital Zone iDZ Kidaripatti,Madurai
6105,IIT Madras,ION Digital Zone IDZ KIOT-Campus,Salem
6106,IIT Madras,iON Digital Zone iDZ Sivathapuram,Salem
6107,IIT Madras,Arasu Engineering College,Thanjavur
6108,IIT Madras,Periyar Maniammai University,Thanjavur
6109,IIT Madras,iON Digital Zone IDZ Trichy II,Tiruchirapalli
6110,IIT Madras,M.A.M School of Engineering,Tiruchirapalli
6111,IIT Madras,iON Digital Zone iDZ Tirunelveli,Tirunelveli
6112,IIT Madras,iON Digital Zone iDZ Vellore,Vellore
6113,IIT Madras,St.Xaviers Catholic College of Engineering,Nagercoil
6114,IIT Madras,Muthayammal College of Arts and Science,Namakkal
6115,IIT Madras,Mepco Schlenk Engineering College,Virudhunagar
6116,IIT Madras,Ammaiappar Polytechnic College,Virudhunagar
6117,IIT Madras,Nalanda Degree & Pg College,Adilabad
6118,IIT Madras,C.M.R College of Engineering & Technology,Hyderabad
6119,IIT Madras,C.M.R Institute of Technology,Hyderabad
6120,IIT Madras,Malla Reddy Engineering College Autonomous,Hyderabad
6121,IIT Madras,ACE Engineering College,Hyderabad
6122,IIT Madras,G.Narayanamma Institute of Technology and Science For Women,Hyderabad
6123,IIT Madras,Geethanjali College of Engineering and Technology,Hyderabad
6124,IIT Madras,GITAM University - Hyderabad,Hyderabad
6125,IIT Madras,BVRIT College of Engineering for Women,Hyderabad
6126,IIT Madras,Padmasri Dr. B. V. Raju Institute of Technology,Medak
6127,IIT Madras,K.G Reddy College of Engineering & Technology,Hyderabad
